job	seqlen	epochs	lrate	dropout	times	f_in	f_out	embsize	n_heads	n_enc	n_dec	network	batchsize	complete	distinct
5386	7	20	0.00014	0.1	"(""20:40:12"", ""22:31:40"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7224852071005917	[0.9487320371935757, 0.9515215553677092, 0.9500845308537617, 0.9508030431107354, 0.9494505494505494, 0.9494928148774303, 0.9472104818258664]
5387	7	20	0.00014	0.2	"(""20:40:16"", ""22:31:39"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7005494505494505	[0.9451817413355875, 0.9452662721893491, 0.9440405748098056, 0.9450126796280642, 0.9454353338968724, 0.9456466610312764, 0.941927303465765]
5388	7	20	0.00014	0.3	"(""20:40:46"", ""22:33:01"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6385883347421809	[0.9297548605240913, 0.9321217244294168, 0.9300084530853762, 0.9281910397295012, 0.9308114961961116, 0.931614539306847, 0.9297125950972105]
5389	7	20	0.00014	0.4	"(""20:41:05"", ""22:32:53"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5329247675401522	[0.9048182586644125, 0.9040574809805579, 0.90312764158918, 0.903592561284869, 0.9038038884192731, 0.9051986475063398, 0.8981403212172443]
5390	7	20	0.00014	0.5	"(""20:41:30"", ""22:33:29"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.32514792899408285	[0.8330515638207946, 0.8341504649196957, 0.8340236686390533, 0.8352916314454776, 0.835672020287405, 0.8363060016906171, 0.8274302620456466]
5471	7	20	0.00016	0.1	"(""09:56:30"", ""11:48:45"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7354184277261201	[0.9502958579881656, 0.9534234995773457, 0.95156382079459, 0.9516060862214708, 0.9539306846999155, 0.9538884192730347, 0.9503381234150465]
5472	7	20	0.00016	0.2	"(""09:56:33"", ""11:46:44"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7073541842772612	[0.946407438715131, 0.9475486052409129, 0.9462383770076078, 0.9458579881656805, 0.9482248520710059, 0.946407438715131, 0.943491124260355]
5473	7	20	0.00016	0.3	"(""09:56:34"", ""11:48:40"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6573119188503804	[0.9353338968723585, 0.9361792054099747, 0.9349112426035503, 0.9331783601014371, 0.9355874894336432, 0.9357142857142857, 0.932079459002536]
5474	7	20	0.00016	0.4	"(""09:56:33"", ""11:46:49"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5586221470836855	[0.9101437024513948, 0.9106931530008453, 0.9106508875739645, 0.909636517328825, 0.9114539306846999, 0.9111158072696535, 0.9044378698224852]
5475	7	20	0.00016	0.5	"(""09:56:36"", ""11:48:41"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.3646238377007608	[0.8495773457311919, 0.8527049873203719, 0.849112426035503, 0.8497886728655959, 0.8501690617075233, 0.849323753169907, 0.8437447168216399]
